07:43:26.861303 config: drop-rate=0.20, max-delay=100ms, seed=2387230234324
07:43:26.863289 router is listening at :3000
07:49:01.676802 [queue=1] packet #0, 127.0.0.1:59789 -> 127.0.0.1:8080, sz=0 is delayed for 44ms
07:49:01.722423 [queue=0] packet #0, 127.0.0.1:59789 -> 127.0.0.1:8080, sz=0 is delivered
07:49:01.737334 [queue=1] packet #0, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=0 is delayed for 63ms
07:49:01.801763 [queue=0] packet #0, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=0 is delivered
07:49:01.805754 [queue=1] packet #0, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 14ms
07:49:01.813272 [queue=2] packet #1, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=10 is delayed for 28ms
07:49:01.818258 [queue=3] packet #2, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=10 is delayed for 2ms
07:49:01.819259 [queue=4] packet #3, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=10 is delayed for 89ms
07:49:01.820256 [queue=4] packet #4, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=10 is delayed for 51ms
07:49:01.820256 [queue=4] packet #0, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:01.821256 [queue=5] packet #5, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=10 is delayed for 99ms
07:49:01.822247 [queue=4] packet #2, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=10 is delivered
07:49:01.823244 [queue=5] packet #6, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=8 is delayed for 8ms
07:49:01.825239 [queue=6] packet #7, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 35ms
07:49:01.828239 [queue=7] packet #2, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=0 is delayed for 23ms
07:49:01.833218 [queue=6] packet #6, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=8 is delivered
07:49:01.841242 [queue=6] packet #6, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=0 is dropped
07:49:01.843228 [queue=5] packet #1, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=10 is delivered
07:49:01.851177 [queue=6] packet #1, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=0 is delayed for 86ms
07:49:01.853304 [queue=5] packet #2, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=0 is delivered
07:49:01.861217 [queue=4] packet #7, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:01.872804 [queue=3] packet #4, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=10 is delivered
07:49:01.888464 [queue=4] packet #7, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=0 is delayed for 46ms
